CustomerID,TenureDays,RecencyDays,Frequency,MonetaryValue
29818,1004,4232,12,989184.082
29715,1004,4201,12,961675.8596
29722,1004,4201,12,954021.9235
30117,1004,4232,12,919801.8188
29614,1005,4262,12,901346.856
29639,1004,4201,12,887090.4106
29701,639,4201,8,841866.5522
29617,1004,4232,12,834475.9271
29994,1005,4262,12,824331.7682
29646,1005,4262,12,820383.5466
29580,1005,4262,12,815914.2534
29827,1005,4262,12,801766.21
29497,1005,4262,12,789884.2937
29716,1004,4232,12,781073.7175
29913,639,4232,8,757449.6804
30103,639,4232,8,725867.1659
29957,639,4201,8,718258.8109
29523,1004,4232,12,696703.605
29616,639,4232,8,695242.2258
30048,640,4262,8,678828.8377
29562,638,4567,8,665292.381
29772,640,4262,8,660645.9404
29712,639,4232,8,653973.7646
30107,1004,4232,12,650362.0535
29924,639,4232,8,644168.1552
30050,639,4201,8,631355.0743
29641,275,4262,4,606819.6087
29966,1004,4201,12,605358.542
29997,639,4232,8,604794.7839
29689,640,4262,8,600077.2722
29486,1004,4201,12,584949.1308
29522,1004,4232,12,554388.9371
29705,1004,4232,12,543440.5911
30112,639,4232,8,538333.4655
29546,639,4201,8,534117.5619
30000,640,4262,8,533078.2844
30074,638,4598,8,516254.7953
29919,639,4232,8,514317.5252
29507,638,4598,8,502367.0397
29770,639,4201,8,500181.7264
29559,639,4201,8,499815.3125
29923,274,4232,4,493816.8809
29624,273,4963,4,486937.5937
29992,1005,4262,12,483162.6054
29901,1004,4232,12,481860.9122
29834,1004,4201,12,481357.9195
29825,1005,4262,12,475892.0433
30046,639,4201,8,471689.9206
29690,1004,4201,12,470639.545
29707,639,4201,8,469525.749
29734,1005,4262,12,469357.2899
29703,638,4598,8,465429.5734
30049,639,4201,8,461467.3178
29861,273,4963,4,460174.8591
29844,1005,4262,12,452727.9318
29744,640,4262,8,449330.8159
29950,1004,4201,12,449023.1024
29702,1004,4201,12,447403.4907
29888,1004,4232,12,445392.9589
29724,1004,4232,12,444336.9798
29940,274,4232,4,443136.5854
29651,1004,4201,12,442256.8765
30067,1005,4262,12,442054.0945
29885,638,4598,8,435986.1289
29714,1004,4201,12,432800.3352
29489,1005,4262,12,428350.5326
29955,1004,4232,12,421079.058
29938,1004,4201,12,420767.7112
29637,1004,4201,12,407563.0075
29594,274,4628,4,402874.3907
29987,275,4262,4,402574.8569
29647,640,4262,8,402240.7953
29998,273,4567,4,399980.8799
29587,640,4262,8,399672.8579
29929,639,4201,8,393520.7995
29629,274,4201,4,389437.6577
30094,639,4232,8,381763.5549
29995,274,4232,4,381607.9961
30109,640,4262,8,378936.0887
29704,640,4262,8,377088.6246
29692,640,4262,8,366009.6535
29736,274,4201,4,363872.0389
30043,639,4201,8,360816.5491
29895,639,4232,8,358195.771
29560,639,4232,8,356524.0763
29853,638,4598,8,350717.9904
29618,639,4232,8,348640.9465
29783,640,4262,8,348070.0746
29615,274,4232,4,340396.3242
29904,639,4232,8,340132.1268
29509,1004,4232,12,337311.2711
29792,639,4232,8,331823.8605
29956,639,4201,8,331231.2975
29896,639,4232,8,330853.4536
29658,640,4262,8,329150.8419
29910,639,4232,8,329064.433
29698,1004,4232,12,326883.5513
29515,822,4414,8,326175.9828
30065,640,4262,8,325324.054
29889,639,4628,8,323176.2786
29996,639,4232,8,322801.3294
29543,639,4232,8,321014.9284
29564,274,4232,4,320894.205
29579,639,4201,8,320244.2906
29796,274,4201,4,318625.6048
29732,639,4232,8,313985.4367
30118,639,4201,8,313671.5352
29789,1004,4232,12,313549.3888
30111,273,4963,4,311393.1457
30055,639,4232,8,309440.2794
30113,639,4201,8,307946.0796
29693,275,4262,4,307800.8569
29601,639,4232,8,302983.1192
29935,639,4232,8,302690.5743
29793,273,4567,4,302119.1881
30076,1004,4232,12,302061.1054
29525,273,4932,4,298046.6089
29649,638,4567,8,295434.8253
29836,273,4598,4,291627.3902
29909,640,4262,8,285873.6939
29822,639,4201,8,281909.8552
29627,639,4232,8,281414.838
30075,640,4262,8,280716.3647
29891,639,4201,8,279722.7664
29605,640,4262,8,279225.9956
29710,273,4932,4,277612.9119
29916,274,4201,4,270690.6142
29499,639,4201,8,264645.3146
29622,1004,4201,10,262408.3464
30095,1004,4232,12,257252.7645
29963,1004,4232,12,251643.9575
29488,274,4201,4,249804.8673
29917,274,4201,4,249384.5213
29947,639,4232,8,248869.8958
29550,274,4201,4,244854.0475
29843,274,4201,4,243845.1788
30070,275,4262,4,241374.5037
29549,639,4628,8,238924.2599
29695,274,4201,4,236341.6203
29786,639,4232,8,236210.9015
29643,274,4232,4,230789.189
29932,274,4201,4,228053.1314
30083,273,4567,4,225213.746
29589,275,4262,4,223583.8648
29557,274,4201,4,222988.2625
29608,274,4232,4,221704.253
29513,273,4598,4,219040.5091
29880,1004,4232,12,218031.225
29921,273,4932,4,217615.377
30116,275,4262,4,211671.2674
29609,274,4232,4,210334.4128
29738,274,4201,4,210100.7797
29563,274,4201,4,208806.1592
29521,1004,4232,12,208054.1284
29660,274,4201,4,206276.9149
29746,638,4567,8,205886.8086
29524,274,4232,4,204728.0888
29954,273,4567,4,202494.917
29727,274,4232,4,201885.6157
29774,273,4963,4,197614.4995
30105,639,4201,8,195196.9483
29915,913,4201,9,194043.4591
29625,274,4201,4,191750.1446
29945,1004,4232,11,186803.4277
30051,275,4262,4,185558.8316
29925,549,4687,7,182777.7771
30071,274,4201,4,181477.8617
29504,273,4932,4,181006.1299
29828,639,4232,8,178184.8558
29941,275,4262,4,176701.5844
29561,274,4232,4,175334.3856
29958,1005,4262,9,173851.9306
29725,274,4232,4,173266.5894
29946,638,4598,8,172785.8625
29582,273,4963,4,172671.1241
29811,1005,4262,12,170328.5592
29706,274,4232,4,169271.0046
29968,1004,4232,11,168144.5376
29942,274,4232,4,167810.3704
29737,275,4262,4,167690.1309
29898,274,4993,4,167617.4199
29720,274,4201,4,167479.4606
29787,457,4779,6,167452.6003
30101,274,4232,4,166847.2483
29645,274,4201,4,166814.9731
30045,273,4598,4,166384.0535
29795,640,4262,8,166136.4831
30060,639,4232,8,164824.0728
30059,274,4232,4,164735.9592
29967,273,4932,4,164650.482
29628,274,4201,4,163865.4832
29511,1004,4232,11,163046.6378
30108,273,4598,4,162979.1262
29528,639,4201,8,162305.8093
29964,274,4201,4,160410.3804
30044,273,4598,4,159695.459
30056,273,4963,4,158661.4517
29492,548,4201,6,158025.1722
29842,1004,4201,10,156413.2374
29742,273,4963,4,156366.7469
29937,274,4628,4,155877.0993
29749,273,4963,4,155077.5481
29748,273,4932,4,150169.1642
29899,274,4232,4,149592.9358
29552,274,4201,4,148798.8482
30096,913,4262,9,148385.9496
29484,638,4567,7,147804.9208
29953,273,4598,4,147426.0348
29500,640,4262,7,147107.0296
29911,274,4232,4,144435.8847
29551,274,4201,4,143019.6297
29918,274,4232,4,141699.989
29510,273,4963,4,141133.3059
30009,639,4232,8,140787.7392
29642,1004,4201,9,139680.9176
29685,1004,4201,12,136053.7081
29817,274,4232,4,135766.4747
29922,274,4201,4,132439.4619
30082,274,4201,4,132423.9085
29595,275,4262,4,131484.2996
29894,275,4262,4,131237.7017
29931,274,4201,4,130404.7884
30092,274,4201,4,130063.1207
29739,273,4567,4,128791.75
29907,274,4232,4,127453.7862
29485,274,4201,4,127379.7919
29534,274,4201,4,127302.9333
29841,274,4201,4,127265.1484
29699,273,4598,4,126587.3691
29810,1004,4201,12,124014.5979
30004,914,4322,7,122815.4725
30063,274,4232,4,121147.8071
29592,1004,4201,12,121101.8185
29820,275,4262,4,120813.0175
30097,274,4201,4,120560.4446
30073,274,4232,4,119292.9236
29821,274,4201,4,119231.7975
29823,274,4201,4,119150.4488
29776,275,4262,4,116621.1333
30087,274,4201,4,115500.1941
29892,822,4414,9,114722.0767
30106,638,4567,8,113981.9967
29846,1004,4232,12,113785.9264
29531,913,4201,11,113172.072
29951,639,4201,7,112703.6757
30093,274,4232,4,111168.3274
